"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence","OTU"
"9691e79b08aa6e98642d68b53b701564","Fungi","Rozellomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.9999055","9691e79b08aa6e98642d68b53b701564"
"9691ef6957fd84d95cc5357fda4e5f12","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8433039","9691ef6957fd84d95cc5357fda4e5f12"
"96970e3dcac5ecc47a14e650e7f6909b","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8157437","96970e3dcac5ecc47a14e650e7f6909b"
"96a1d03b7165d00cf36fac409af9d706","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS08","unidentified","unidentified","unidentified","0.9884100","96a1d03b7165d00cf36fac409af9d706"
"96a7575807a582647a7057f7b8f3396a","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.9433951","96a7575807a582647a7057f7b8f3396a"
"96aa6f6b1b7b9eb322454f5e5e11588f","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96aa6f6b1b7b9eb322454f5e5e11588f"
"96afdbf722f84c8ad8e79481e588d676","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium_pinicola","0.9930216","96afdbf722f84c8ad8e79481e588d676"
"96b1cb75205c7e7175d1743f5fb35452","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96b1cb75205c7e7175d1743f5fb35452"
"96b622b4e6e52c8da531968d0cadba4c","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96b622b4e6e52c8da531968d0cadba4c"
"96b64b2709a27f81f1a2f5cb4a07bc85","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96b64b2709a27f81f1a2f5cb4a07bc85"
"96b7a8ab67ed71d4208fa0b1af754207","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96b7a8ab67ed71d4208fa0b1af754207"
"96ba455a62902a94edf4db7735a9b403","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae",NA,NA,"0.9958875","96ba455a62902a94edf4db7735a9b403"
"96bd70d08676dc352fee8851096c1c80","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_carnescens","0.7174241","96bd70d08676dc352fee8851096c1c80"
"96bdfc546a5e1325e810ef127cb58765","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8204836","96bdfc546a5e1325e810ef127cb58765"
"96c10688e7e7fd261788811435313417","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96c10688e7e7fd261788811435313417"
"96c34b3c36088e33c36183fb527f7630","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96c34b3c36088e33c36183fb527f7630"
"96c72bba2b06a24a7bf850c9ba1cc428","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7074157","96c72bba2b06a24a7bf850c9ba1cc428"
"96cc3f44dde7538806818159372afdf5","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96cc3f44dde7538806818159372afdf5"
"96d68350b399bba2b0dcfc4061e1543d","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum","Geastrum_floriforme","0.9992968","96d68350b399bba2b0dcfc4061e1543d"
"96d7af77217e87d05ff161a74c117381","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA,"0.9999991","96d7af77217e87d05ff161a74c117381"
"96de21ecdf1fe9cb8c076d06a68b848b","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"0.9969399","96de21ecdf1fe9cb8c076d06a68b848b"
"96e239cf337695d966ce37640ff24867","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.8011147","96e239cf337695d966ce37640ff24867"
"96e77d755876b10b58448332f74a509e","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Coprinopsis_strossmayeri","0.9381202","96e77d755876b10b58448332f74a509e"
"96ecf4bd63a3adbbcf042be1bf7102de","Fungi","Rozellomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.7329922","96ecf4bd63a3adbbcf042be1bf7102de"
"96f4001e14e51f7deb65d6e59d90d37a","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","unidentified","0.9639478","96f4001e14e51f7deb65d6e59d90d37a"
"96fe0b7030c04ed0e070fc78c4272c7c","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96fe0b7030c04ed0e070fc78c4272c7c"
"96fefb5f1db64543ad6d86c08d802da7","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","96fefb5f1db64543ad6d86c08d802da7"
"9709ea8438b785cf19b596a9ea74ed99","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_tetramera","0.7747961","9709ea8438b785cf19b596a9ea74ed99"
"970a4c76673676a5a45104584b56df89","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"0.9959116","970a4c76673676a5a45104584b56df89"
"9719b031e7ac82e29541c00e827e8640","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe_velutipes","0.9470858","9719b031e7ac82e29541c00e827e8640"
"971a8e0727b9983fa6ec4f469de5503a","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Piskurozyma","Piskurozyma_taiwanensis","0.9110203","971a8e0727b9983fa6ec4f469de5503a"
"9725b86821abd4cb1da6dbd1a4066fec","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.7349051","9725b86821abd4cb1da6dbd1a4066fec"
"97276661c21e6b76cb9f4942595bcbbb","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7721753","97276661c21e6b76cb9f4942595bcbbb"
"972b4be6d6ba4259e8c6070424bc1992","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7713505","972b4be6d6ba4259e8c6070424bc1992"
"973459df9c8b081b99d9f5c9dfa97915","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","973459df9c8b081b99d9f5c9dfa97915"
"973755f9f8f26337ceb4edc096517353","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","973755f9f8f26337ceb4edc096517353"
"97383c294aeec3b7872b362daea15821","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.9727412","97383c294aeec3b7872b362daea15821"
"973d6de11bbcb0733214628e5631f9cc","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7565932","973d6de11bbcb0733214628e5631f9cc"
"9743eae77e02b6040734a7242afe1b50","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA,"0.9999964","9743eae77e02b6040734a7242afe1b50"
"974be7c3607cb8019e2ae0bb73fdfb63","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","974be7c3607cb8019e2ae0bb73fdfb63"
"974f1358844d5d1c2d5b259143ae6211","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","974f1358844d5d1c2d5b259143ae6211"
"9750b8f89ba8557b541813682731f287","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","9750b8f89ba8557b541813682731f287"
"975481b560ebb70ee4d6d0660312e14a","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unidentified","0.9418480","975481b560ebb70ee4d6d0660312e14a"
"975607341787ebd3f0b20682744977c0","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8493603","975607341787ebd3f0b20682744977c0"
"9756fe2dadeeb6cda9e5e5e419e76e11","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8576922","9756fe2dadeeb6cda9e5e5e419e76e11"
"9758a695ab36f81b81bdbd89d23029f4","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema_viticola","0.9955139","9758a695ab36f81b81bdbd89d23029f4"
"975c39eac6848078b8a646933da77cde","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora","unidentified","0.7780873","975c39eac6848078b8a646933da77cde"
"97607cfb5a1caa8cf77fe4ef1883bbc1","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_osmophilus","0.8136752","97607cfb5a1caa8cf77fe4ef1883bbc1"
"9761aae16b3b1ca7763c48f06044321f","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.9047070","9761aae16b3b1ca7763c48f06044321f"
"9762f2cada8be27a0e7f6e6bd010ed3f","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7102424","9762f2cada8be27a0e7f6e6bd010ed3f"
"97646ab2b084e9a2280c076998979024","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97646ab2b084e9a2280c076998979024"
"97655201ea71b87fe43a0a473f345088","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97655201ea71b87fe43a0a473f345088"
"976585d7b582163f2341ab9e0ea0045d","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","976585d7b582163f2341ab9e0ea0045d"
"9767cff8f1de12acd2e8896ea59f4b44","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","9767cff8f1de12acd2e8896ea59f4b44"
"976b13a062417073d1eccb809ddebe92","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS05","unidentified","unidentified","unidentified","0.9999965","976b13a062417073d1eccb809ddebe92"
"976be3d653321768dbbfe238923268a7","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus",NA,"0.9347459","976be3d653321768dbbfe238923268a7"
"9770ab1e2baa0cd5550adf085b10cf48","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","9770ab1e2baa0cd5550adf085b10cf48"
"9774a42bffdeb1394fd73a127f320024","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.8094045","9774a42bffdeb1394fd73a127f320024"
"97767b965d124f6daba9c997193b38f4","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97767b965d124f6daba9c997193b38f4"
"977694a4dd47c1d149253bac2bec7c14","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormia","unidentified","0.9494759","977694a4dd47c1d149253bac2bec7c14"
"977704dee0d149fd088b47082cc68e6c","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","977704dee0d149fd088b47082cc68e6c"
"977edd5d53707436b1658773f215c846","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,"0.7652331","977edd5d53707436b1658773f215c846"
"9781f4937ccf0e9ebac28c74f9b082ee","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8233546","9781f4937ccf0e9ebac28c74f9b082ee"
"97844073ff9ff9f48978fa752decc35b","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8492582","97844073ff9ff9f48978fa752decc35b"
"9786c8cb6b6e109a55d58b8a6c34f711","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","9786c8cb6b6e109a55d58b8a6c34f711"
"9788361bdfdda9201922e7dc90a11de7","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium_sp","0.9725061","9788361bdfdda9201922e7dc90a11de7"
"978a53fa9884b6b978930244448c3c19","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","978a53fa9884b6b978930244448c3c19"
"97907396c2b13c2f65229b224eaa02cb","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Ochroconis","Ochroconis_tshawytschae","0.9999999","97907396c2b13c2f65229b224eaa02cb"
"9794c38d762fe834fe9753db6999bde1","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","unidentified","unidentified","0.9113701","9794c38d762fe834fe9753db6999bde1"
"9794c924bd0730c64812ad36b8b2b7c6","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","9794c924bd0730c64812ad36b8b2b7c6"
"979653389640cf33393ff6e0a46d22b1","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.8643100","979653389640cf33393ff6e0a46d22b1"
"9796c4d0d63206e035c35fa19bf3d919","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","9796c4d0d63206e035c35fa19bf3d919"
"979f48f397961b53c7513eb6534a7e30","Fungi","Rozellomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.9999967","979f48f397961b53c7513eb6534a7e30"
"97a0429715b5f0e75923a103d14b2286","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","97a0429715b5f0e75923a103d14b2286"
"97a86b0c103dcc2f19cc7228781a1a72","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7023130","97a86b0c103dcc2f19cc7228781a1a72"
"97aa3057d8d9c4eeb61e9c2e261dab4c","Fungi","Ascomycota","Sordariomycetes","Branch06","unidentified","unidentified","unidentified","0.9999712","97aa3057d8d9c4eeb61e9c2e261dab4c"
"97ab1dc2b9be85a251065f6758ecbd70","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8392559","97ab1dc2b9be85a251065f6758ecbd70"
"97ab28338e3c8aae0a0f6bb58dd8229f","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8658132","97ab28338e3c8aae0a0f6bb58dd8229f"
